Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	AlphaFoldDB	Taxonomic lineage	Organism (ID)
A0A398A9N4	unreviewed	A0A398A9N4_BRACM	Abscisic acid G-protein coupled receptor-like domain-containing protein	BRARA_B01605	Brassica campestris (Field mustard)	468	A0A398A9N4;	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Brassiceae (tribe), Brassica (genus)	3711
A0A3B0JNR2	unreviewed	A0A3B0JNR2_DROGU	Blast:Nischarin	DGUA_6G001905	Drosophila guanche (Fruit fly)	454	A0A3B0JNR2;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Brachycera (suborder), Muscomorpha (infraorder), Eremoneura (clade), Cyclorrhapha (clade), Schizophora (no rank), Acalyptratae (no rank), Ephydroidea (superfamily), Drosophilidae (family), Drosophilinae (subfamily), Drosophilini (tribe), Drosophila (genus), Sophophora (subgenus), obscura group (no rank), obscura subgroup (no rank)	7266
A0A3B1J434	unreviewed	A0A3B1J434_ASTMX	Golgi pH regulator	GPR89B	Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)	430	A0A3B1J434;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Characiphysae (superorder), Characiformes (order), Characoidei (suborder), Characidae (family), Stethaprioninae (subfamily), Astyanax (genus)	7994
A0A3B1K6W5	unreviewed	A0A3B1K6W5_ASTMX	Golgi pH regulator	GPR89B	Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)	455	A0A3B1K6W5;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Characiphysae (superorder), Characiformes (order), Characoidei (suborder), Characidae (family), Stethaprioninae (subfamily), Astyanax (genus)	7994
A0A3B3DB00	unreviewed	A0A3B3DB00_ORYME	Golgi pH regulator	GPR89B	Oryzias melastigma (Marine medaka)	455	A0A3B3DB00;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Ovalentaria (clade), Atherinomorphae (superorder), Beloniformes (order), Adrianichthyoidei (suborder), Adrianichthyidae (family), Oryziinae (subfamily), Oryzias (genus)	30732
A0A3B3SDN0	unreviewed	A0A3B3SDN0_9TELE	Golgi pH regulator	GPR89B	Paramormyrops kingsleyae	423	A0A3B3SDN0;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Osteoglossocephala (clade), Osteoglossomorpha (clade), Osteoglossiformes (order), Mormyridae (family), Paramormyrops (genus)	1676925
A0A3B3SF09	unreviewed	A0A3B3SF09_9TELE	Golgi pH regulator	GPR89B	Paramormyrops kingsleyae	455	A0A3B3SF09;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Osteoglossocephala (clade), Osteoglossomorpha (clade), Osteoglossiformes (order), Mormyridae (family), Paramormyrops (genus)	1676925
A0A3B3V3F1	unreviewed	A0A3B3V3F1_9TELE	Golgi pH regulator		Poecilia latipinna (sailfin molly)	455	A0A3B3V3F1;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Ovalentaria (clade), Atherinomorphae (superorder), Cyprinodontiformes (order), Cyprinodontoidei (suborder), Poeciliidae (family), Poeciliinae (subfamily), Poecilia (genus)	48699
A0A3B3VZ87	unreviewed	A0A3B3VZ87_9TELE	Golgi pH regulator		Poecilia latipinna (sailfin molly)	432	A0A3B3VZ87;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Ovalentaria (clade), Atherinomorphae (superorder), Cyprinodontiformes (order), Cyprinodontoidei (suborder), Poeciliidae (family), Poeciliinae (subfamily), Poecilia (genus)	48699
A0A3B3X1G0	unreviewed	A0A3B3X1G0_9TELE	Golgi pH regulator		Poecilia mexicana	423	A0A3B3X1G0;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Ovalentaria (clade), Atherinomorphae (superorder), Cyprinodontiformes (order), Cyprinodontoidei (suborder), Poeciliidae (family), Poeciliinae (subfamily), Poecilia (genus)	48701
A0A3B3YJP4	unreviewed	A0A3B3YJP4_9TELE	Abscisic acid G-protein coupled receptor-like domain-containing protein		Poecilia mexicana	455	A0A3B3YJP4;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Ovalentaria (clade), Atherinomorphae (superorder), Cyprinodontiformes (order), Cyprinodontoidei (suborder), Poeciliidae (family), Poeciliinae (subfamily), Poecilia (genus)	48701
A0A3B4AAL6	unreviewed	A0A3B4AAL6_9GOBI	Uncharacterized protein		Periophthalmus magnuspinnatus	453		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Gobiaria (clade), Gobiiformes (order), Gobioidei (suborder), Gobiidae (family), Oxudercinae (subfamily), Periophthalmus (genus)	409849
A0A3B4BWA5	unreviewed	A0A3B4BWA5_PYGNA	Golgi pH regulator	GPR89B	Pygocentrus nattereri (Red-bellied piranha)	423	A0A3B4BWA5;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Characiphysae (superorder), Characiformes (order), Characoidei (suborder), Serrasalmidae (family), Pygocentrus (genus)	42514
A0A3B4GY10	unreviewed	A0A3B4GY10_9CICH	Golgi pH regulator	GPR89B	Pundamilia nyererei	423	A0A3B4GY10;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Ovalentaria (clade), Cichlomorphae (superorder), Cichliformes (order), Cichlidae (family), African cichlids (clade), Pseudocrenilabrinae (subfamily), Haplochromini (tribe), Pundamilia (genus)	303518
A0A3B4TKE7	unreviewed	A0A3B4TKE7_SERDU	Golgi pH regulator	GPR89B	Seriola dumerili (Greater amberjack) (Caranx dumerili)	455	A0A3B4TKE7;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Carangaria (clade), Carangiformes (order), Carangidae (family), Seriola (genus)	41447
A0A3B4TKY7	unreviewed	A0A3B4TKY7_SERDU	Golgi pH regulator	GPR89B	Seriola dumerili (Greater amberjack) (Caranx dumerili)	426	A0A3B4TKY7;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Carangaria (clade), Carangiformes (order), Carangidae (family), Seriola (genus)	41447
A0A3B4Y437	unreviewed	A0A3B4Y437_SERLL	Golgi pH regulator	GPR89B	Seriola lalandi dorsalis	455	A0A3B4Y437;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Carangaria (clade), Carangiformes (order), Carangidae (family), Seriola (genus), Seriola lalandi (species)	1841481
A0A3B4Y861	unreviewed	A0A3B4Y861_SERLL	Golgi pH regulator	GPR89B	Seriola lalandi dorsalis	433	A0A3B4Y861;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Carangaria (clade), Carangiformes (order), Carangidae (family), Seriola (genus), Seriola lalandi (species)	1841481
A0A3B5B9G1	unreviewed	A0A3B5B9G1_9TELE	Golgi pH regulator	GPR89B LOC103369897	Stegastes partitus (bicolor damselfish)	455		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Ovalentaria (clade), Ovalentaria incertae sedis (no rank), Pomacentridae (family), Stegastes (genus)	144197
A0A3B5MVN3	unreviewed	A0A3B5MVN3_9TELE	Uncharacterized protein		Xiphophorus couchianus (Monterrey platyfish)	387	A0A3B5MVN3;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Ovalentaria (clade), Atherinomorphae (superorder), Cyprinodontiformes (order), Cyprinodontoidei (suborder), Poeciliidae (family), Poeciliinae (subfamily), Xiphophorus (genus)	32473
A0A3L6G7M3	unreviewed	A0A3L6G7M3_MAIZE	GPCR-type G protein 2	Zm00014a_003608	Zea mays (Maize)	478	A0A3L6G7M3;	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), PACMAD clade (clade), Panicoideae (subfamily), Andropogonodae (no rank), Andropogoneae (tribe), Tripsacinae (subtribe), Zea (genus)	4577
A0A3L8DZU1	unreviewed	A0A3L8DZU1_OOCBI	Golgi pH regulator	DMN91_001484	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	466	A0A3L8DZU1;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Hymenoptera (order), Apocrita (suborder), Aculeata (infraorder), Formicoidea (superfamily), Formicidae (family), Dorylinae (subfamily), Ooceraea (genus)	2015173
A0A3L8SKS3	unreviewed	A0A3L8SKS3_CHLGU	Abscisic acid G-protein coupled receptor-like domain-containing protein	DV515_00006592	Chloebia gouldiae (Gouldian finch) (Erythrura gouldiae)	453	A0A3L8SKS3;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Passeriformes (order), Passeroidea (superfamily), Passeridae (family), Chloebia (genus)	44316
A0A3M6UXV6	unreviewed	A0A3M6UXV6_POCDA	Abscisic acid G-protein coupled receptor-like domain-containing protein	pdam_00000205	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	458	A0A3M6UXV6;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Cnidaria (phylum), Anthozoa (class), Hexacorallia (subclass), Scleractinia (order), Astrocoeniina (suborder), Pocilloporidae (family), Pocillopora (genus)	46731
A0A3M7C171	unreviewed	A0A3M7C171_HORWE	Abscisic acid G-protein coupled receptor-like domain-containing protein	D0865_09683	Hortaea werneckii	550	A0A3M7C171;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Teratosphaeriaceae (family), Hortaea (genus)	91943
A0A3M7CVU7	unreviewed	A0A3M7CVU7_HORWE	Abscisic acid G-protein coupled receptor-like domain-containing protein	D0863_13070	Hortaea werneckii	561	A0A3M7CVU7;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Teratosphaeriaceae (family), Hortaea (genus)	91943
A0A3M7E5F8	unreviewed	A0A3M7E5F8_HORWE	Abscisic acid G-protein coupled receptor-like domain-containing protein	D0864_10678	Hortaea werneckii	546	A0A3M7E5F8;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Teratosphaeriaceae (family), Hortaea (genus)	91943
A0A3M7EMD0	unreviewed	A0A3M7EMD0_HORWE	Abscisic acid G-protein coupled receptor-like domain-containing protein	D0864_09418	Hortaea werneckii	549	A0A3M7EMD0;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Teratosphaeriaceae (family), Hortaea (genus)	91943
A0A3M7F6I7	unreviewed	A0A3M7F6I7_HORWE	Abscisic acid G-protein coupled receptor-like domain-containing protein	D0861_06978	Hortaea werneckii	550	A0A3M7F6I7;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Teratosphaeriaceae (family), Hortaea (genus)	91943
A0A3M7GES1	unreviewed	A0A3M7GES1_HORWE	Abscisic acid G-protein coupled receptor-like domain-containing protein	D0862_07241	Hortaea werneckii	561	A0A3M7GES1;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Teratosphaeriaceae (family), Hortaea (genus)	91943
A0A3M7GQ62	unreviewed	A0A3M7GQ62_HORWE	Abscisic acid G-protein coupled receptor-like domain-containing protein	D0860_06892	Hortaea werneckii	550	A0A3M7GQ62;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Teratosphaeriaceae (family), Hortaea (genus)	91943
A0A3M7I487	unreviewed	A0A3M7I487_HORWE	Abscisic acid G-protein coupled receptor-like domain-containing protein	D0859_15715	Hortaea werneckii	561	A0A3M7I487;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Teratosphaeriaceae (family), Hortaea (genus)	91943
A0A3M7I5Z7	unreviewed	A0A3M7I5Z7_HORWE	Abscisic acid G-protein coupled receptor-like domain-containing protein	D0859_15219	Hortaea werneckii	584	A0A3M7I5Z7;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Teratosphaeriaceae (family), Hortaea (genus)	91943
A0A3M7SMU3	unreviewed	A0A3M7SMU3_BRAPC	Golgi pH regulator	BpHYR1_033607	Brachionus plicatilis (Marine rotifer) (Brachionus muelleri)	470	A0A3M7SMU3;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Spiralia (clade), Gnathifera (clade), Rotifera (phylum), Eurotatoria (class), Monogononta (subclass), Pseudotrocha (superorder), Ploima (order), Brachionidae (family), Brachionus (genus)	10195
A0A3N4HGC9	unreviewed	A0A3N4HGC9_ASCIM	Golgi pH regulator	BJ508DRAFT_336032	Ascobolus immersus RN42	514	A0A3N4HGC9;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), Pezizomycetes (class), Pezizales (order), Ascobolaceae (family), Ascobolus (genus), Ascobolus immersus (species)	1160509
A0A3N4JHV2	unreviewed	A0A3N4JHV2_9PEZI	Abscisic acid G-protein coupled receptor-like domain-containing protein	L873DRAFT_1689745	Choiromyces venosus 120613-1	526	A0A3N4JHV2;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), Pezizomycetes (class), Pezizales (order), Tuberaceae (family), Choiromyces (genus), Choiromyces venosus (species)	1336337
A0A3P6ADP3	unreviewed	A0A3P6ADP3_BRACM	Abscisic acid G-protein coupled receptor-like domain-containing protein	BRAA02T06350Z BRAPAZ1V2_A02P17840.2	Brassica campestris (Field mustard)	469	A0A3P6ADP3;	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Brassiceae (tribe), Brassica (genus)	3711
A0A3P7F7R5	unreviewed	A0A3P7F7R5_WUCBA	Golgi pH regulator	WBA_LOCUS284	Wuchereria bancrofti	503	A0A3P7F7R5;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Chromadorea (class), Rhabditida (order), Spirurina (suborder), Spiruromorpha (infraorder), Filarioidea (superfamily), Onchocercidae (family), Wuchereria (genus)	6293
A0A3P7JZW7	unreviewed	A0A3P7JZW7_STRVU	Golgi pH regulator conserved domain-containing protein	SVUK_LOCUS20507	Strongylus vulgaris (Blood worm)	226	A0A3P7JZW7;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Chromadorea (class), Rhabditida (order), Rhabditina (suborder), Rhabditomorpha (infraorder), Strongyloidea (superfamily), Strongylidae (family), Strongylus (genus)	40348
